"","name","year","pressure","windspeed","radius","rainfall_mm","surge","Tors"
"541","UNNAMED",1980,-999,30,-999,NA,NA,NA
"542","UNNAMED",1981,-999,60,-999,NA,NA,NA
"543","UNNAMED",1982,-999,60,-999,NA,NA,NA
"544","UNNAMED",1983,-999,30,-999,NA,NA,NA
"545","UNNAMED",1984,-999,50,-999,NA,NA,NA
"546","UNNAMED",1985,-999,30,-999,NA,NA,NA
"547","UNNAMED",1986,-999,30,-999,NA,NA,NA
"548","UNNAMED",1987,-999,40,-999,NA,NA,NA
"549","UNNAMED",1988,-999,50,-999,NA,NA,NA
"550","UNNAMED",1989,-999,30,-999,NA,NA,NA
"551","UNNAMED",1990,-999,30,-999,NA,NA,NA
"552","UNNAMED",1991,-999,65,-999,NA,NA,NA
"553","UNNAMED",1992,1002,45,-999,NA,NA,NA
"554","UNNAMED",1993,999,35,-999,NA,NA,NA
"555","UNNAMED",1994,1004,30,-999,NA,NA,NA
"556","UNNAMED",1995,1002,30,-999,NA,NA,NA
"557","UNNAMED",1997,1003,45,-999,NA,NA,NA
"558","UNNAMED",1999,1002,30,-999,NA,NA,NA
"559","UNNAMED",2000,976,55,-999,NA,NA,NA
"560","UNNAMED",2001,1005,30,-999,NA,NA,NA
"561","UNNAMED",2002,1002,30,-999,NA,NA,NA
"562","UNNAMED",2003,1007,30,-999,NA,NA,NA
"563","UNNAMED",2004,1009,30,0,NA,NA,NA
"564","UNNAMED",2005,997,45,0,NA,NA,NA
"565","UNNAMED",2006,998,45,0,NA,NA,NA
"566","UNNAMED",2011,1002,40,0,NA,NA,NA
"567","UNNAMED",2013,995,55,100,NA,NA,NA
"568","VICKY",2020,1001,45,0,NA,NA,NA
"569","VINCE",2005,988,65,40,NA,NA,NA
"570","WILFRED",2020,1006,35,0,NA,NA,NA
"571","WILMA",2005,882,160,150,336.804,3.96,8
"572","ZETA",2005,997,50,20,NA,NA,NA
"573","ZETA",2006,994,55,60,NA,NA,NA
"574","ZETA",2020,970,100,70,223.52,NA,NA
